,latitude,longitude,address,birth_place
james southerland,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
james thomas,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
james white,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
james wilkes,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
james worthy,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
james young,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
jameson curry,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
jamie feick,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
jamie waller,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
jamie watson,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
jamil wilson,44.4308975,-89.6884637,"Wisconsin, United States of America",Wisconsin
jamison brewer,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
jamychal green,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
jan van breda kolff,36.7014631,-118.7559974,"California, United States of America",California
jan vesely,49.8167003,15.4749544,Česko,Czech Republic
jannero pargo,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
jared cunningham,36.7014631,-118.7559974,"California, United States of America",California
jared dudley,36.7014631,-118.7559974,"California, United States of America",California
jared jeffries,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
jared reiner,44.6471761,-100.348761,"South Dakota, United States of America",South Dakota
jared sullinger,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
jarell eddie,27.7567667,-81.4639835,"Florida, United States of America",Florida
jarell martin,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
jaren jackson,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
jarnell stokes,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
jarrett allen,31.8160381,-99.5120986,"Texas, United States of America",Texas
jarrett jack,39.5162234,-76.9382069,"Maryland, United States of America",Maryland
jarrod uthoff,41.9216734,-93.3122705,"Iowa, United States of America",Iowa
jarron collins,36.7014631,-118.7559974,"California, United States of America",California
jarvis hayes,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
jarvis varnado,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
jason caffey,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
jason collier,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
jason collins,36.7014631,-118.7559974,"California, United States of America",California
jason hart,36.7014631,-118.7559974,"California, United States of America",California
jason kapono,36.7014631,-118.7559974,"California, United States of America",California
jason kidd,36.7014631,-118.7559974,"California, United States of America",California
jason lawson,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
jason maxiell,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
jason miskiri,4.88732,-58.9398798968075,Guyana,Guyana
jason richardson,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
jason sasser,31.8160381,-99.5120986,"Texas, United States of America",Texas
jason smith,38.7251776,-105.6077167,"Colorado, United States of America",Colorado
jason terry,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",Washington
jason thompson,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
jason williams,38.4758406,-80.8408415,"West Virginia, United States of America",West Virginia
javale mcgee,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
javaris crittenton,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
jawad williams,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
jawann oldham,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
jawun evans,33.6874388,-80.4363743,"South Carolina, United States of America",South Carolina
jay arnette,31.8160381,-99.5120986,"Texas, United States of America",Texas
jay carty,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
jay edwards,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
jay guidinger,44.4308975,-89.6884637,"Wisconsin, United States of America",Wisconsin
jay humphries,36.7014631,-118.7559974,"California, United States of America",California
jay miller,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
jay murphy,41.6500201,-72.7342163,"Connecticut, United States of America",Connecticut
jay taylor,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
jay vincent,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
jay williams,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
jaylen brown,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
jayson tatum,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
jayson williams,33.6874388,-80.4363743,"South Carolina, United States of America",South Carolina
jeff adrien,42.3788774,-72.032366,"Massachusetts, United States of America",Massachusetts
jeff ayres,36.7014631,-118.7559974,"California, United States of America",California
jeff cook,36.7014631,-118.7559974,"California, United States of America",California
jeff cross,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
jeff foote,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
jeff foster,31.8160381,-99.5120986,"Texas, United States of America",Texas
jeff grayer,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
jeff green,39.5162234,-76.9382069,"Maryland, United States of America",Maryland
jeff hornacek,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
jeff judkins,39.4225192,-111.7143584,"Utah, United States of America",Utah
jeff lamp,45.9896587,-94.6113288,"Minnesota, United States of America",Minnesota
jeff lebo,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
jeff malone,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
jeff martin,35.2048883,-92.4479108,"Arkansas, United States of America",Arkansas
jeff mcinnis,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
jeff mullins,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
jeff nordgaard,45.9896587,-94.6113288,"Minnesota, United States of America",Minnesota
jeff ruland,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
jeff sanders,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
jeff taylor,59.6749712,14.5208584,Sverige,Sweden
jeff teague,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
jeff trepagnier,36.7014631,-118.7559974,"California, United States of America",California
jeff turner,45.709097,-68.8590201,"Maine, United States of America",Maine
jeff webster,35.2048883,-92.4479108,"Arkansas, United States of America",Arkansas
jeff wilkins,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
jeff withey,36.7014631,-118.7559974,"California, United States of America",California
jeffrey sheppard,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
jelani mccoy,36.7014631,-118.7559974,"California, United States of America",California
jerald honeycutt,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
jerami grant,43.9792797,-120.737257,"Oregon, United States of America",Oregon
jerel mcneal,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
jeremy evans,35.2048883,-92.4479108,"Arkansas, United States of America",Arkansas
jeremy lamb,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
jeremy lin,36.7014631,-118.7559974,"California, United States of America",California
jeremy pargo,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
jeremy richardson,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
jeremy tyler,36.7014631,-118.7559974,"California, United States of America",California
jerian grant,39.5162234,-76.9382069,"Maryland, United States of America",Maryland
jermaine jackson,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
jermaine oneal,33.6874388,-80.4363743,"South Carolina, United States of America",South Carolina
jermaine taylor,27.7567667,-81.4639835,"Florida, United States of America",Florida
jermareo davidson,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
jerome allen,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
jerome anderson,38.4758406,-80.8408415,"West Virginia, United States of America",West Virginia
jerome beasley,36.7014631,-118.7559974,"California, United States of America",California
jerome dyson,39.5162234,-76.9382069,"Maryland, United States of America",Maryland
jerome harmon,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
jerome henderson,36.7014631,-118.7559974,"California, United States of America",California
jerome james,27.7567667,-81.4639835,"Florida, United States of America",Florida
jerome jordan,18.1850507,-77.3947693,Jamaica,Jamaica
jerome kersey,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
jerome lane,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
jerome moiso,46.603354,1.8883335,"France métropolitaine, France",France
jerome whitehead,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
jerome williams,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
jerrelle benimon,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
jerrod mustaf,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
jerry baskerville,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
jerry bird,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
jerry chambers,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
jerry eaves,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
jerry fleishman,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
jerry harkness,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
jerry lucas,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
jerry nagel,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
jerry reynolds,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
jerry rullo,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
jerry sichting,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
jerry sloan,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
jerry smith,44.4308975,-89.6884637,"Wisconsin, United States of America",Wisconsin
jerry stackhouse,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
jerry west,38.4758406,-80.8408415,"West Virginia, United States of America",West Virginia
jerryd bayless,34.395342,-111.7632755,"Arizona, United States of America",Arizona
jeryl sasser,31.8160381,-99.5120986,"Texas, United States of America",Texas
jesse arnelle,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
jesse branson,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
jesse dark,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
jim ard,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
jim baechtold,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
jim barnes,35.2048883,-92.4479108,"Arkansas, United States of America",Arkansas
jim barnett,33.6874388,-80.4363743,"South Carolina, United States of America",South Carolina
jim bostic,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
jim brasco,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
jim brewer,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
jim brogan,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
jim browne,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
jim caldwell,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
jim chones,44.4308975,-89.6884637,"Wisconsin, United States of America",Wisconsin
jim cleamons,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
jim creighton,47.3752671,-109.6387579,"Montana, United States of America",Montana
jim davis,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
jim eakins,36.7014631,-118.7559974,"California, United States of America",California
jim farmer,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
jim fox,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
jim grandholm,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
jim jackson,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
jim johnstone,41.6500201,-72.7342163,"Connecticut, United States of America",Connecticut
jim king,34.9550817,-97.2684063,"Oklahoma, United States of America",Oklahoma
jim krebs,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
jim lampley,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
jim les,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
jim loscutoff,36.7014631,-118.7559974,"California, United States of America",California
jim mcdaniels,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
jim mcelroy,35.2048883,-92.4479108,"Arkansas, United States of America",Arkansas
jim mcilvaine,44.4308975,-89.6884637,"Wisconsin, United States of America",Wisconsin
jim mcmillian,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
jim nolan,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
jim owens,36.7014631,-118.7559974,"California, United States of America",California
jim palmer,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
jim paxson,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
jim petersen,45.9896587,-94.6113288,"Minnesota, United States of America",Minnesota
jim pollard,36.7014631,-118.7559974,"California, United States of America",California
jim price,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
jim riffey,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
jim rowinski,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
jim seminoff,36.7014631,-118.7559974,"California, United States of America",California
jim smith,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
jim spanarkel,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
jim thomas,27.7567667,-81.4639835,"Florida, United States of America",Florida
jim tucker,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
jim walsh,36.7014631,-118.7559974,"California, United States of America",California
jim ware,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
jim washington,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
jim zoet,61.0666922,-107.9917071,Canada,Canada
jimmer fredette,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
jimmy butler,31.8160381,-99.5120986,"Texas, United States of America",Texas
jimmy carruth,31.8160381,-99.5120986,"Texas, United States of America",Texas
jimmy darden,43.1700264,-107.5685348,"Wyoming, United States of America",Wyoming
jimmy darrow,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
jimmy jones,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
jimmy king,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
jimmy oliver,35.2048883,-92.4479108,"Arkansas, United States of America",Arkansas
jimmy walker,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
jiri welsch,49.8167003,15.4749544,Česko,Czech Republic
jj anderson,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
jj barea,18.22141715,-66.4132818505648,"Puerto Rico, Saltos, Orocovis, Puerto Rico, United States of America",Puerto Rico
jj hickson,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
jj obrien,36.7014631,-118.7559974,"California, United States of America",California
jj redick,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
jo jo english,51.0834196,10.4234469,"Deutschland, Europe",Germany
jo jo white,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
joakim noah,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
joao vianna,-10.3333333,-53.2,Brasil,Brazil
jodie meeks,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
joe alexander,23.59829785,120.835363138175,"臺灣, 信義鄉, 南投縣, 臺灣",Taiwan
joe arlauckas,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
joe barry carroll,35.2048883,-92.4479108,"Arkansas, United States of America",Arkansas
joe binion,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
joe bradley,34.9550817,-97.2684063,"Oklahoma, United States of America",Oklahoma
joe bryant,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
joe caldwell,31.8160381,-99.5120986,"Texas, United States of America",Texas
joe cooper,31.8160381,-99.5120986,"Texas, United States of America",Texas
joe courtney,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
joe crawford,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
joe crispin,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
joe dumars,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
joe fulks,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
joe harris,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",Washington
joe hassett,41.7962409,-71.5992372,"Rhode Island, United States of America",Rhode Island
joe ingles,-24.7761086,134.755,Australia,Australia
joe johnson,35.2048883,-92.4479108,"Arkansas, United States of America",Arkansas
joe kleine,38.7251776,-105.6077167,"Colorado, United States of America",Colorado
joe kopicki,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
joe meriweather,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
joe mullaney,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
joe pace,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
joe ruklick,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
joe smith,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
joe stephens,36.7014631,-118.7559974,"California, United States of America",California
joe strawder,27.7567667,-81.4639835,"Florida, United States of America",Florida
joe thomas,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
joe wolf,44.4308975,-89.6884637,"Wisconsin, United States of America",Wisconsin
joe young,31.8160381,-99.5120986,"Texas, United States of America",Texas
joel anthony,61.0666922,-107.9917071,Canada,Canada
joel bolomboy,49.4871968,31.2718321,Україна,Ukraine
joel embiid,4.6125522,13.1535811,Cameroun,Cameroon
joel freeland,25.2232283,55.1594933008754,"United Kingdom, دبي, دبي‎, الإمارات العربيّة المتّحدة",United Kingdom
joel kramer,36.7014631,-118.7559974,"California, United States of America",California
joel przybilla,45.9896587,-94.6113288,"Minnesota, United States of America",Minnesota
joey dorsey,39.5162234,-76.9382069,"Maryland, United States of America",Maryland
joey graham,38.6920451,-75.4013315,"Delaware, United States of America",Delaware
joffrey lauvergne,46.603354,1.8883335,"France métropolitaine, France",France
johan petro,46.603354,1.8883335,"France métropolitaine, France",France
john amaechi,42.3788774,-72.032366,"Massachusetts, United States of America",Massachusetts
john bagley,41.6500201,-72.7342163,"Connecticut, United States of America",Connecticut
john barnhill,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
john battle,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
john block,36.7014631,-118.7559974,"California, United States of America",California
john brisker,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
john brown,51.0834196,10.4234469,"Deutschland, Europe",Germany
john celestand,31.8160381,-99.5120986,"Texas, United States of America",Texas
john coker,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",Washington
john collins,39.4225192,-111.7143584,"Utah, United States of America",Utah
john coughran,36.7014631,-118.7559974,"California, United States of America",California
john crotty,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
john douglas,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
john drew,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
john duren,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
john edwards,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
john fairchild,36.7014631,-118.7559974,"California, United States of America",California
john garris,41.6500201,-72.7342163,"Connecticut, United States of America",Connecticut
john gianelli,36.7014631,-118.7559974,"California, United States of America",California
john greig,36.7014631,-118.7559974,"California, United States of America",California
john hargis,31.8160381,-99.5120986,"Texas, United States of America",Texas
john havlicek,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
john henson,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
john holland,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
john hummer,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
john jenkins,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
john johnson,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
john kuester,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
john lambert,36.7014631,-118.7559974,"California, United States of America",California
john laskowski,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
john logan,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
john long,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
john lucas,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
john lucas iii,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
john mahnken,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
john mandic,36.7014631,-118.7559974,"California, United States of America",California
john mcconathy,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
john mccullough,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
john mengelt,44.4308975,-89.6884637,"Wisconsin, United States of America",Wisconsin
john morton,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
john oldham,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
john olive,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
john paxson,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
john pilch,43.1700264,-107.5685348,"Wyoming, United States of America",Wyoming
john pinone,41.6500201,-72.7342163,"Connecticut, United States of America",Connecticut
john roche,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
john rudd,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
john rudometkin,36.7014631,-118.7559974,"California, United States of America",California
john salley,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
john salmons,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
john schweitz,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
john shasky,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
john shumate,33.6874388,-80.4363743,"South Carolina, United States of America",South Carolina
john starks,34.9550817,-97.2684063,"Oklahoma, United States of America",Oklahoma
john stockton,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",Washington
john stroeder,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",Washington
john stroud,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
john thomas,45.9896587,-94.6113288,"Minnesota, United States of America",Minnesota
john thompson,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
john trapp,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
john tschogl,36.7014631,-118.7559974,"California, United States of America",California
john turner,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
john wall,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
john wallace,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
john warren,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
john wetzel,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
john williams,36.7014631,-118.7559974,"California, United States of America",California
john williamson,41.6500201,-72.7342163,"Connecticut, United States of America",Connecticut
johnny austin,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
johnny baum,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
johnny cox,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
johnny davis,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
johnny dawkins,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
johnny egan,41.6500201,-72.7342163,"Connecticut, United States of America",Connecticut
johnny ezersky,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
johnny green,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
johnny high,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
johnny jones,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
johnny macknowsky,64.6863136,97.7453061,РФ,Russia
johnny moore,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
johnny neumann,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
johnny newman,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
johnny norlander,45.9896587,-94.6113288,"Minnesota, United States of America",Minnesota
johnny obryant,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
johnny orr,38.27312,-98.5821872,"Kansas, United States of America",Kansas
johnny rogers,36.7014631,-118.7559974,"California, United States of America",California
johnny taylor,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
jon barry,36.7014631,-118.7559974,"California, United States of America",California
jon brockman,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",Washington
jon koncak,41.9216734,-93.3122705,"Iowa, United States of America",Iowa
jon leuer,45.9896587,-94.6113288,"Minnesota, United States of America",Minnesota
jon mcglocklin,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
jon sundvold,44.6471761,-100.348761,"South Dakota, United States of America",South Dakota
jonas jerebko,59.6749712,14.5208584,Sverige,Sweden
jonas valanciunas,55.3500003,23.7499997,Lietuva,Lithuania
jonathan bender,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
jonathan gibson,36.7014631,-118.7559974,"California, United States of America",California
jonathan isaac,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
jonathan kerner,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
jonathon simmons,31.8160381,-99.5120986,"Texas, United States of America",Texas
jonny flynn,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
jordan adams,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
jordan bell,36.7014631,-118.7559974,"California, United States of America",California
jordan clarkson,27.7567667,-81.4639835,"Florida, United States of America",Florida
jordan crawford,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
jordan farmar,36.7014631,-118.7559974,"California, United States of America",California
jordan hamilton,36.7014631,-118.7559974,"California, United States of America",California
jordan hill,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
jordan mcrae,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
jordan mickey,31.8160381,-99.5120986,"Texas, United States of America",Texas
jordan williams,41.6500201,-72.7342163,"Connecticut, United States of America",Connecticut
jorge garbajosa,40.0028028,-4.003104,España,Spain
jorge gutierrez,19.4326009,-99.1333416,"Ciudad de México, Cuauhtémoc, 06060, México",Mexico
jose calderon,40.0028028,-4.003104,España,Spain
jose ortiz,18.22141715,-66.4132818505648,"Puerto Rico, Saltos, Orocovis, Puerto Rico, United States of America",Puerto Rico
jose slaughter,36.7014631,-118.7559974,"California, United States of America",California
joseph forte,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
josh akognon,36.7014631,-118.7559974,"California, United States of America",California
josh boone,39.5162234,-76.9382069,"Maryland, United States of America",Maryland
josh childress,36.7014631,-118.7559974,"California, United States of America",California
josh davis,43.9792797,-120.737257,"Oregon, United States of America",Oregon
josh grant,39.4225192,-111.7143584,"Utah, United States of America",Utah
josh harrellson,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
josh hart,39.5162234,-76.9382069,"Maryland, United States of America",Maryland
josh howard,35.6729639,-79.0392919,"North Carolina, United States of America",North Carolina
josh huestis,31.8160381,-99.5120986,"Texas, United States of America",Texas
josh jackson,36.7014631,-118.7559974,"California, United States of America",California
josh magette,33.2588817,-86.8295337,"Alabama, United States of America",Alabama
josh mcroberts,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
josh powell,33.6874388,-80.4363743,"South Carolina, United States of America",South Carolina
josh richardson,34.9550817,-97.2684063,"Oklahoma, United States of America",Oklahoma
josh selby,39.5162234,-76.9382069,"Maryland, United States of America",Maryland
josh smith,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
jr bremer,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
jr giddens,34.9550817,-97.2684063,"Oklahoma, United States of America",Oklahoma
jr glen rice,27.7567667,-81.4639835,"Florida, United States of America",Florida
jr henderson,36.7014631,-118.7559974,"California, United States of America",California
jr reid,37.1232245,-78.4927721,"Virginia, United States of America",Virginia
jr smith,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
jrue holiday,36.7014631,-118.7559974,"California, United States of America",California
juan carlos navarro,40.0028028,-4.003104,España,Spain
juan dixon,39.5162234,-76.9382069,"Maryland, United States of America",Maryland
juan hernangomez,40.0028028,-4.003104,España,Spain
juaquin hawkins,36.7014631,-118.7559974,"California, United States of America",California
jud buechler,36.7014631,-118.7559974,"California, United States of America",California
julian wright,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
julius erving,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
julius hodge,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
julius nwosu,9.6000359,7.9999721,Nigeria,Nigeria
